key,volume,scan,title_page,frontispiece,annotations,shelf_mark,copyright
ms_333,,,,,,"Bern, Bürgerbibliothek 87, f.16v",
ms_334,,,,,,"Bruxelles, Bibliothèque Royale 4499-4503, f.4v-5, in.",
ms_335,,,,,,"Bruxelles, Bibliothèque Royale 10629-10660, (copy of Vaticano, Palat. lat. 1564)",
ms_336,,,,,,"Chartres, Bibliothèque de la Ville 498, f.153",
ms_337,,,,,,"Napoli, Biblioteca Nazionale V A 13, f.30v-31, in.",
ms_338,,,,,,"Paris, Bibliothèque Nationale Lat. 8679A, f.19-21, (copy of Wolfenbüttel, HAB Cod. Guelf. 105 Gud. lat.)",
ms_339,,,,,,"Vaticano, Ottob. lat. 1862, f.26",
ms_340,,,,,,"Vaticano, Palat. lat. 1564, f.79-82",
ms_341,,,,,,"Wolfenbüttel, Herzog August Bibliothek Cod. Guelf. 105 Gud. lat., f.43-45v",
ms_342,,,,,,"Bamberg, Staatliche Bibliothek Class. 55 (olim H.J. IV 22), f.1v-16, in.",
ms_343,,,,,,"Bern, Bürgerbibliothek 87, f.1v-8v",
ms_344,,,,,,"Bern, Bürgerbibliothek 299, f.1-14",
ms_345,,,,,,"Cambridge, Trinity College R.15.14 (939), f.4-43v",
ms_346,,,,,,"Cesena, Biblioteca Malatestiana Plut.sin. XXVI.1, f.221-249",
ms_347,,,,,,"Chartres, Bibliothèque de la Ville 498, f.141v-143",
ms_348,,,,,,"Einsiedeln, Stiftsbibliothek 298, p.1-22",
ms_349,,,,,,"Firenze, Biblioteca Medicea Laurenziana Plut. 29.19, f.1-27",
ms_350,,,,,,"London, British Library Addit. 47679, f.74-101v",
ms_351,,,,,,"Madrid, Biblioteca Nacional 9088 (olim Aa 53), f.130-147v",
ms_352,,,,,,"München, Bayerische Staatsbibliothek CLM 4024a, f.3-9v, (fragmentary)",
ms_353,,,,,,"Napoli, Biblioteca Nazionale V A 13, f.1-15, in.",
ms_354,,,,,,"New York, Columbia University Plimpton 164, f.2-16v, (copy of Napoli, BN V A 13)",
ms_355,,,,,,"Oxford, Bodleian Library Douce 125, p.1-67",
ms_356,,,,,,"Paris, Bibliothèque Nationale Lat. 13020, f.59v-83",
ms_357,,,,,,"Praha, Universitnì Knihovna IX.C.6 (= 1717), f.47-63v",
ms_358,,,,,,"Rostock, Universitätsbibliothek Phil. 18 (olim IV 111,4), p.1-17",
ms_359,,,,,,"Vaticano, Barb. lat. 92, f.19v-22v, 38v-44",
ms_360,,,,,,"Vaticano, Ottob. lat. 1862, f.37-44v",
ms_361,,,,,,"Wien, Österreichische Nationalbibliothek 55, f.1-14v, 22-22v, 15-21v",
ms_362,,,,,,"Wien, Österreichische Nationalbibliothek 2269, f.220-223",
ms_363,,,,,,"Wroclaw, Biblioteka Uniwersytecka Rehdig. 55, f.2-26, (copied from Rostock Phil. 18)",
ms_364,,,,,,"Berlin, Staatsbibliothek Preussischer Kulturbesitz Lat. oct. 162, f.69-70, 71v-76",
ms_365,,,,,,"Bruxelles, Bibliothèque Royale 4499-4503, f.28-28v, in.",
ms_366,,,,,,"Cesena, Biblioteca Malatestiana Plut.sin. XXVI.1, f.201-220",
ms_367,,,,,,"Chartres, Bibliothèque de la Ville 498, f.155-166, 1 +olim",
ms_368,,,,,,"Cheltenham, Phillipps 7017, Present location unknown.",
ms_369,,,,,,"Erlangen, Universitätsbibliothek 379, f.1v-76",
ms_370,,,,,,"Groningen, Bibliotheek der Rijksuniversiteit 103, f.207v-216, in.",
ms_371,,,,,,"London, British Library Addit. 47679, f.146-147",
ms_372,,,,,,"London, British Library Arundel 339, f.49-59",
ms_373,,,,,,"London, British Library Lansdowne 842B, f.51-65v",
ms_374,,,,,,"München, Bayerische Staatsbibliothek CLM 4024a, f.1v-2v, (fragment)",
ms_375,,,,,,"München, Bayerische Staatsbibliothek CLM 23511, f.30-51v",
ms_376,,,,,,"Paris, Bibliothèque Nationale Lat. 7377C, f.18v-24, 25v-34v, ex.",
ms_377,,,,,,"Rostock, Universitätsbibliothek Phil. 18 (olim IV 111,4), p.29-30, (fragment)",
ms_378,,,,,,"Vaticano, Lat. 3123, f.65v-84",
ms_379,,,,,,"Vaticano, Barb. lat. 92, f.3-16v",
ms_380,,,,,,"Vaticano, Ottob. lat. 1862, f.26v-33v",
ms_381,,,,,,"Vaticano, Regin. lat. 1071, f.56-58v, Wroclaw, Biblioteka Uniwersytecka Rehdig. 55, f.38-39, (fragment; copied from Rostock, Phil. 18)",
ms_382,,,,,,"Verona, Biblioteca Capitolare XL (38), f.331v-331, 326v-326, 341-341v, 338-338v, 336-336v, 343-343v",
ms_383,,,,,,"München, Universitätsbibliothek 2o 757, f.1-2v, in.",
ms_384,,,,,,"Paris, Bibliothèque Nationale Lat. 7373, f.2-175v",
ms_385,,,,,,"Firenze, Biblioteca Nazionale Centrale Conv.soppr. C I 448, f.1-104v",
ms_386,,,,,,"Venezia, Biblioteca Nazionale Marciana fondo antico 271 (= 1642), f.1-1v",
ms_387,,,,,,"Admont, Stiftsbibliothek, fragment 4, 1f.",
ms_388,,,,,,"Genoa, Biblioteca Universitaria E.III.28, f.231-232v",
ms_389,,,,,,"Milano, Biblioteca Ambrosiana A 3 sup., f.1-20",
ms_390,,,,,,"München, Bayerische Staatsbibliothek CLM 13021, f.27-31v",
ms_391,,,,,,"München, Bayerische Staatsbibliothek CLM 18927, f.31-33",
ms_392,,,,,,"Oxford, Bodleian Library Lyell 52, f.21-34",
ms_393,,,,,,"Paris, Bibliothèque Nationale Lat. 16208, f.67-71",
ms_394,,,,,,,
ms_395,,,,,,"København, Kongelige Biblioteket",
ms_396,,,,,,"Leiden, Bibliotheek der Rijksuniversiteit Or. 399/",
